Date,Sales
2023-01-01,102
2023-01-02,100
2023-01-03,106
2023-01-04,111
2023-01-05,103
2023-01-06,105
2023-01-07,115
2023-01-08,112
2023-01-09,107
2023-01-10,113
2023-01-11,109
2023-01-12,110
2023-01-13,114
2023-01-14,105
2023-01-15,107
2023-01-16,113
2023-01-17,112
2023-01-18,119
2023-01-19,114
2023-01-20,112
2023-01-21,127
2023-01-22,119
2023-01-23,121
2023-01-24,115
2023-01-25,119
2023-01-26,123
2023-01-27,117
2023-01-28,125
2023-01-29,121
2023-01-30,122
2023-01-31,121
2023-02-01,133
2023-02-02,124
2023-02-03,119
2023-02-04,128
2023-02-05,118
2023-02-06,125
2023-02-07,114
2023-02-08,117
2023-02-09,124
2023-02-10,127
2023-02-11,124
2023-02-12,122
2023-02-13,120
2023-02-14,114
2023-02-15,117
2023-02-16,118
2023-02-17,125
2023-02-18,121
2023-02-19,109
2023-02-20,119
2023-02-21,115
2023-02-22,113
2023-02-23,118
2023-02-24,119
2023-02-25,118
2023-02-26,108
2023-02-27,110
2023-02-28,113
2023-03-01,115
2023-03-02,107
2023-03-03,107
2023-03-04,102
2023-03-05,100
2023-03-06,110
2023-03-07,111
2023-03-08,103
2023-03-09,108
2023-03-10,104
2023-03-11,98
2023-03-12,102
2023-03-13,107
2023-03-14,99
2023-03-15,106
2023-03-16,84
2023-03-17,101
2023-03-18,97
2023-03-19,94
2023-03-20,96
2023-03-21,85
2023-03-22,93
2023-03-23,96
2023-03-24,101
2023-03-25,91
2023-03-26,89
2023-03-27,90
2023-03-28,97
2023-03-29,94
2023-03-30,90
2023-03-31,95
2023-04-01,93
2023-04-02,97
2023-04-03,89
2023-04-04,91
2023-04-05,91
2023-04-06,86
2023-04-07,95
2023-04-08,95
2023-04-09,95
2023-04-10,94
2023-04-11,89
2023-04-12,94
2023-04-13,95
2023-04-14,94
2023-04-15,98
2023-04-16,101
2023-04-17,109
2023-04-18,102
2023-04-19,103
2023-04-20,102
2023-04-21,94
2023-04-22,105
2023-04-23,106
2023-04-24,119
2023-04-25,107
2023-04-26,111
2023-04-27,110
2023-04-28,105
2023-04-29,118
2023-04-30,117
2023-05-01,119
2023-05-02,111
2023-05-03,124
2023-05-04,111
2023-05-05,122
2023-05-06,132
2023-05-07,117
2023-05-08,120
